image_file,coordinates,IScrosswalk,light_class
crosswalk DATASET/training set/03/700.jpg,"[0.3754640625, 0.6924222222222222, 0.27767421875, 1.0]",1.0,1.0
crosswalk DATASET/training set/03/950.jpg,"[0.39218046875, 0.6656763888888888, 0.16985546875, 1.0]",1.0,1.0
crosswalk DATASET/training set/03/1100.jpg,"[0.39301640625, 0.68945, 0.2041234375, 1.0]",1.0,0.0
crosswalk DATASET/training set/03/1300.jpg,"[0.31779375, 0.6716194444444444, 0.06955781250000001, 1.0]",1.0,0.0
crosswalk DATASET/training set/03/1550.jpg,"[0.40555312499999996, 0.6998513888888889, 0.19075, 1.0]",1.0,0.0
crosswalk DATASET/training set/03/1700.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
crosswalk DATASET/training set/03/2000.jpg,"[0.31277890625000004, 0.8246652777777778, 0.1949296875, 1.0]",1.0,0.0
crosswalk DATASET/training set/03/2150.jpg,"[0.33283828125000003, 0.8350666666666667, 0.19827265624999998, 1.0]",1.0,0.0
crosswalk DATASET/training set/03/100.jpg,"[0.42561328125, 0.7191680555555556, 0.3880015625, 1.0]",1.0,0.0
crosswalk DATASET/training set/03/2300.jpg,"[0.26931640625000003, 0.7518569444444444, 0.08293125, 0.9985138888888888]",1.0,0.0
crosswalk DATASET/training set/03/400.jpg,"[0.430628125, 0.6968791666666666, 0.40471796875, 1.0]",1.0,0.0
crosswalk DATASET/training set/03/2600.jpg,"[0.3478828125, 0.6344722222222222, 0.12304999999999999, 0.9866263888888889]",1.0,1.0
crosswalk DATASET/training set/03/550.jpg,"[0.42143359374999995, 0.7280833333333334, 0.38298671875, 1.0]",1.0,1.0
crosswalk DATASET/training set/03/2750.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,0.0
crosswalk DATASET/training set/03/850.jpg,"[0.36125546875, 0.6879638888888889, 0.13809453124999999, 1.0]",1.0,1.0
crosswalk DATASET/training set/03/1000.jpg,"[0.37797187499999996, 0.6582472222222222, 0.12639296875, 1.0]",1.0,1.0
crosswalk DATASET/training set/03/1150.jpg,"[0.37713593749999996, 0.6820208333333333, 0.14812421874999998, 1.0]",1.0,0.0
crosswalk DATASET/training set/03/1450.jpg,"[0.38215078125, 0.6686472222222222, 0.14561640625, 1.0]",1.0,0.0
crosswalk DATASET/training set/03/1600.jpg,"[0.29021171875, 0.8439819444444445, 0.16818359375, 0.9985138888888888]",1.0,0.0
crosswalk DATASET/training set/03/1750.jpg,"[0.41056796875, 0.7474000000000001, 0.223346875, 0.9985138888888888]",1.0,0.0
crosswalk DATASET/training set/03/2050.jpg,"[0.32949453125, 0.8306097222222222, 0.2041234375, 1.0]",1.0,0.0
crosswalk DATASET/training set/03/2200.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,0.0
crosswalk DATASET/training set/03/200.jpg,"[0.41140390625, 0.6909361111111111, 0.387165625, 1.0]",1.0,0.0
crosswalk DATASET/training set/03/2400.jpg,"[0.2843609375, 0.7726597222222223, 0.1130203125, 1.0]",1.0,0.0
crosswalk DATASET/training set/03/450.jpg,"[0.41307578125, 0.7028236111111111, 0.38047890624999997, 1.0]",1.0,0.0
crosswalk DATASET/training set/03/2650.jpg,"[0.35874843749999996, 0.7444277777777779, 0.24089921875, 1.0]",1.0,1.0
crosswalk DATASET/training set/03/600.jpg,"[0.4172546875, 0.7117388888888889, 0.39468828125, 1.0]",1.0,1.0
crosswalk DATASET/training set/03/2800.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,0.0
crosswalk DATASET/training set/03/900.jpg,"[0.37964375, 0.6745916666666667, 0.14227343750000002, 1.0]",1.0,1.0
crosswalk DATASET/training set/03/1050.jpg,"[0.36961328125000004, 0.7087666666666667, 0.16316875, 1.0]",1.0,1.0
crosswalk DATASET/training set/03/1200.jpg,"[0.36961328125000004, 0.6953944444444444, 0.16567578125, 1.0]",1.0,0.0
crosswalk DATASET/training set/03/300.jpg,"[0.40833828125, 0.6834694444444445, 0.366134375, 1.0]",1.0,0.0
crosswalk DATASET/training set/03/800.jpg,"[0.32722734375, 0.7373972222222223, 0.1557734375, 1.0]",1.0,1.0
crosswalk DATASET/training set/03/1400.jpg,"[0.365475, 0.6764361111111111, 0.13137421875, 1.0]",1.0,0.0
crosswalk DATASET/training set/03/1950.jpg,"[0.2883203125, 0.8077375, 0.1491796875, 1.0]",1.0,0.0
crosswalk DATASET/training set/03/2500.jpg,"[0.236225, 0.7796013888888889, 0.0891703125, 1.0]",1.0,1.0
crosswalk DATASET/training set/03/150.jpg,"[0.41031640625000004, 0.7127777777777778, 0.40240312500000003, 1.0]",1.0,0.0
crosswalk DATASET/training set/03/650.jpg,"[0.40240312500000003, 0.670575, 0.35953984375000003, 1.0]",1.0,1.0
crosswalk DATASET/training set/03/1250.jpg,"[0.3160171875, 0.7209847222222223, 0.10169999999999998, 1.0]",1.0,0.0
crosswalk DATASET/training set/03/1800.jpg,"[0.371409375, 0.7397416666666667, 0.17555703125, 1.0]",1.0,0.0
crosswalk DATASET/training set/03/2350.jpg,"[0.2685375, 0.7713944444444445, 0.2210578125, 0.8710430555555555]",1.0,0.0
crosswalk DATASET/training set/03/250.jpg,"[0.40899765625000006, 0.7104333333333334, 0.37338828125, 1.0]",1.0,0.0
crosswalk DATASET/training set/03/750.jpg,"[0.39580859375, 0.7268458333333333, 0.24479765625, 1.0]",1.0,1.0
crosswalk DATASET/training set/03/1350.jpg,"[0.35624296875, 0.6576791666666667, 0.11950468750000001, 1.0]",1.0,0.0
crosswalk DATASET/training set/03/1900.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,0.0
crosswalk DATASET/training set/03/2450.jpg,"[0.29227734375000003, 0.7936694444444444, 0.1392875, 1.0]",1.0,0.0
crosswalk DATASET/training set/04/50.jpg,"[0.9306765625000001, 0.3508, 0.1364625, 0.7933041666666666]",1.0,2.0
crosswalk DATASET/training set/04/150.jpg,"[0.50923203125, 0.23798333333333335, 0.06147421875, 1.0]",1.0,2.0
crosswalk DATASET/training set/04/200.jpg,"[0.37932265625, 0.14302499999999999, 0.04564765625, 1.0]",1.0,2.0
crosswalk DATASET/training set/04/100.jpg,"[0.96820078125, 0.22039861111111111, 0.0515828125, 0.9331763888888888]",1.0,2.0
crosswalk DATASET/training set/04/250.jpg,"[0.6450765625, 0.12544027777777778, 0.28040703125, 1.0]",1.0,2.0
crosswalk DATASET/training set/05/50.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
crosswalk DATASET/training set/05/200.jpg,"[0.94295859375, 0.5065500000000001, 1.0, 0.6360986111111111]",1.0,2.0
crosswalk DATASET/training set/05/350.jpg,"[0.49017499999999997, 0.4381375, 0.08651718750000001, 0.915575]",1.0,2.0
crosswalk DATASET/training set/05/500.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
crosswalk DATASET/training set/05/100.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
crosswalk DATASET/training set/05/250.jpg,"[0.60644140625, 0.41048055555555557, 0.67276171875, 0.8762736111111111]",1.0,2.0
crosswalk DATASET/training set/05/400.jpg,"[0.24126640625, 0.42649166666666666, 0.0, 0.6215430555555556]",1.0,2.0
crosswalk DATASET/training set/05/150.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
crosswalk DATASET/training set/05/300.jpg,"[0.61135390625, 0.4410486111111111, 0.42221640625, 0.9286749999999999]",1.0,2.0
crosswalk DATASET/training set/05/450.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
crosswalk DATASET/training set/06/100.jpg,"[0.25927968749999997, 0.40320277777777774, 0.5515828125, 0.4599708333333333]",1.0,2.0
crosswalk DATASET/training set/06/250.jpg,"[0.008733593750000001, 0.3973805555555555, 0.24617890625, 0.5574958333333333]",1.0,2.0
crosswalk DATASET/training set/06/400.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
crosswalk DATASET/training set/06/150.jpg,"[0.1798578125, 0.43668055555555557, 0.48853749999999996, 0.4978166666666667]",1.0,2.0
crosswalk DATASET/training set/06/300.jpg,"[0.00300234375, 0.5502180555555556, 0.4549671875, 1.0]",1.0,2.0
crosswalk DATASET/training set/06/450.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
crosswalk DATASET/training set/06/200.jpg,"[0.06604765625, 0.3799125, 0.41894140625, 0.48180555555555554]",1.0,2.0
crosswalk DATASET/training set/06/350.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
crosswalk DATASET/training set/06/50.jpg,"[0.34609375, 0.31805555555555554, 0.65078125, 0.3625]",1.0,2.0
crosswalk DATASET/training set/07/50.jpg,"[0.37554609375000003, 0.6302763888888888, 0.059497656249999996, 0.8442500000000001]",1.0,2.0
crosswalk DATASET/training set/07/200.jpg,"[0.75300234375, 0.5633194444444444, 0.76528359375, 0.8180499999999999]",1.0,2.0
crosswalk DATASET/training set/07/100.jpg,"[0.6432859375, 0.5531291666666667, 0.42385390625, 0.7583694444444444]",1.0,2.0
crosswalk DATASET/training set/07/250.jpg,"[0.788209375, 0.532751388888889, 0.9544210937500001, 0.7569138888888888]",1.0,2.0
crosswalk DATASET/training set/07/150.jpg,"[0.5548578125, 0.5225625, 0.44022890625000005, 0.7190680555555556]",1.0,2.0
crosswalk DATASET/training set/07/300.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
crosswalk DATASET/training set/08/50.jpg,"[0.015625, 0.7513888888888889, 0.33125, 0.7694444444444445]",1.0,2.0
crosswalk DATASET/training set/08/100.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
crosswalk DATASET/training set/08/150.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
crosswalk DATASET/training set/09/100.jpg,"[0.97347578125, 0.4665888888888889, 0.49142734375, 0.5943722222222222]",1.0,2.0
crosswalk DATASET/training set/09/250.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
crosswalk DATASET/training set/09/150.jpg,"[0.9991937500000001, 0.4876902777777778, 0.6470546875000001, 0.6412666666666667]",1.0,2.0
crosswalk DATASET/training set/09/300.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
crosswalk DATASET/training set/09/50.jpg,"[0.794109375, 0.49472499999999997, 0.37272890625, 0.5838222222222222]",1.0,2.0
crosswalk DATASET/training set/09/200.jpg,"[1.0, 0.6436111111111111, 0.82510234375, 0.7409138888888889]",1.0,2.0
crosswalk DATASET/training set/10/150.jpg,"[0.00078125, 0.7194444444444444, 0.68828125, 0.775]",1.0,2.0
crosswalk DATASET/training set/10/300.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
crosswalk DATASET/training set/10/450.jpg,"[0.0021835937499999998, 0.8253277777777778, 0.20605859375, 1.0]",1.0,2.0
crosswalk DATASET/training set/10/200.jpg,"[0.035753125000000004, 0.4337694444444445, 0.5589523437499999, 0.9985444444444445]",1.0,2.0
crosswalk DATASET/training set/10/350.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
crosswalk DATASET/training set/10/100.jpg,"[0.00078125, 0.6402777777777777, 0.56484375, 0.6277777777777778]",1.0,2.0
crosswalk DATASET/training set/10/250.jpg,"[0.58105859375, 0.45414861111111116, 0.85125546875, 1.0]",1.0,2.0
crosswalk DATASET/training set/10/400.jpg,"[0.56058984375, 0.6331875, 0.7259828125000001, 1.0]",1.0,2.0
crosswalk DATASET/training set/10/50.jpg,"[0.0015625, 0.4263888888888889, 0.68984375, 0.4930555555555556]",1.0,2.0
crosswalk DATASET/training set/11/50.jpg,"[0.75955234375, 0.4657930555555555, 0.42958515625000004, 1.0]",1.0,2.0
crosswalk DATASET/training set/11/100.jpg,"[0.24875468750000002, 0.07385694444444445, 0.0496046875, 1.0]",1.0,2.0
crosswalk DATASET/training set/11/150.jpg,"[0.8996187499999999, 0.0, 0.2553484375, 0.8335291666666667]",1.0,2.0
crosswalk DATASET/training set/12/200.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
crosswalk DATASET/training set/12/400.jpg,"[0.9961789062499999, 0.8457055555555556, 0.76364609375, 1.0]",1.0,2.0
crosswalk DATASET/training set/12/100.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
crosswalk DATASET/training set/12/250.jpg,"[0.7459703125, 0.1875736111111111, 0.365475, 0.23095]",1.0,2.0
crosswalk DATASET/training set/12/450.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
crosswalk DATASET/training set/12/150.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
crosswalk DATASET/training set/12/350.jpg,"[0.8316046874999999, 0.40756944444444443, 0.3558953125, 0.5866083333333333]",1.0,2.0
crosswalk DATASET/training set/12/500.jpg,"[0.4918125, 0.5531291666666667, 0.57942109375, 1.0]",1.0,0.0
crosswalk DATASET/training set/12/50.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
crosswalk DATASET/training set/12/300.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
crosswalk DATASET/training set/13/200.jpg,"[0.20605859375, 0.5443958333333333, 0.784115625, 0.7365361111111112]",1.0,2.0
crosswalk DATASET/training set/13/350.jpg,"[0.0, 0.5400291666666667, 0.57287109375, 1.0]",1.0,2.0
crosswalk DATASET/training set/13/250.jpg,"[0.00300234375, 0.20232916666666664, 0.80294765625, 0.48180555555555554]",1.0,2.0
crosswalk DATASET/training set/13/450.jpg,"[0.597434375, 0.2081513888888889, 0.585971875, 0.5516736111111111]",1.0,2.0
crosswalk DATASET/training set/13/300.jpg,"[0.2560046875, 0.25764166666666666, 1.0, 0.6390097222222222]",1.0,2.0
crosswalk DATASET/training set/13/500.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
crosswalk DATASET/training set/13/50.jpg,"[0.35625, 0.30694444444444446, 0.80390625, 0.3375]",1.0,2.0
crosswalk DATASET/training set/13/150.jpg,"[0.15078125, 0.5625, 0.74921875, 0.6180555555555556]",1.0,2.0
crosswalk DATASET/training set/13/100.jpg,"[0.2328125, 0.3236111111111111, 0.7484375, 0.3763888888888889]",1.0,2.0
crosswalk DATASET/training set/13/400.jpg,"[0.7835578125, 0.0, 0.68793984375, 0.9988277777777778]",1.0,2.0
crosswalk DATASET/training set/14/50.jpg,"[0.9102078125, 0.4061138888888889, 0.19705234375, 0.6259097222222222]",1.0,2.0
crosswalk DATASET/training set/14/150.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
crosswalk DATASET/training set/14/200.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
crosswalk DATASET/training set/14/100.jpg,"[1.0, 0.8263888888888888, 0.3765625, 0.9944444444444445]",1.0,2.0
crosswalk DATASET/training set/15/50.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
crosswalk DATASET/training set/15/200.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
crosswalk DATASET/training set/15/400.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
crosswalk DATASET/training set/15/550.jpg,"[0.70640390625, 0.3083236111111111, 0.56066796875, 0.33177083333333335]",1.0,2.0
crosswalk DATASET/training set/15/900.jpg,"[0.962925, 0.26611944444444446, 0.20523125000000003, 0.4490041666666667]",1.0,2.0
crosswalk DATASET/training set/15/1100.jpg,"[0.5417578125, 0.6142652777777778, 0.09143046875000001, 1.0]",1.0,2.0
crosswalk DATASET/training set/15/250.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
crosswalk DATASET/training set/15/450.jpg,"[0.59363984375, 0.0996486111111111, 0.41031640625000004, 0.11723333333333333]",1.0,2.0
crosswalk DATASET/training set/15/600.jpg,"[0.5725382812500001, 0.4009375, 0.39383046875, 0.41852222222222224]",1.0,2.0
crosswalk DATASET/training set/15/950.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
crosswalk DATASET/training set/15/150.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
crosswalk DATASET/training set/15/350.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
crosswalk DATASET/training set/15/500.jpg,"[0.5910023437499999, 0.32121944444444445, 0.36085859375, 0.3364597222222222]",1.0,2.0
crosswalk DATASET/training set/15/300.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
crosswalk DATASET/training set/15/700.jpg,"[0.42482421875, 0.22625972222222224, 0.304146875, 0.24736249999999999]",1.0,2.0
crosswalk DATASET/training set/15/1050.jpg,"[0.5850671875, 0.5791319444444445, 0.0, 0.9742083333333332]",1.0,2.0
crosswalk DATASET/training set/15/750.jpg,"[0.997875, 0.15240277777777778, 0.57187890625, 0.22157083333333333]",1.0,2.0
crosswalk DATASET/training set/15/800.jpg,"[1.0, 0.22157083333333333, 0.6318875, 0.1805388888888889]",1.0,2.0
crosswalk DATASET/training set/15/850.jpg,"[0.9813890625000001, 0.4912069444444444, 0.5804515625, 0.5650638888888889]",1.0,2.0
crosswalk DATASET/training set/15/1000.jpg,"[0.998534375, 0.7057444444444445, 0.631228125, 0.7667055555555555]",1.0,2.0
crosswalk DATASET/training set/15/650.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
crosswalk DATASET/training set/15/1100.jpg,"[0.5481390625, 0.6143027777777778, 0.099721875, 1.0]",1.0,2.0
crosswalk DATASET/training set/15/100.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
crosswalk DATASET/training set/16/100.jpg,"[0.6318234375, 0.3158666666666667, 0.50245625, 0.4410486111111111]",1.0,2.0
crosswalk DATASET/training set/16/250.jpg,"[0.84879921875, 0.5036388888888889, 0.7431765625, 1.0]",1.0,2.0
crosswalk DATASET/training set/16/150.jpg,"[0.7284390625, 0.49490555555555554, 0.599890625, 0.6593888888888889]",1.0,2.0
crosswalk DATASET/training set/16/300.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
crosswalk DATASET/training set/16/50.jpg,"[0.22980312500000002, 0.41048055555555557, 0.1774015625, 0.48762777777777777]",1.0,2.0
crosswalk DATASET/training set/16/200.jpg,"[0.8193234374999999, 0.40029166666666666, 0.5524015624999999, 0.9927222222222222]",1.0,2.0
crosswalk DATASET/training set/16/350.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
crosswalk DATASET/training set/18/150.jpg,"[0.48116796875, 0.49345, 0.70141953125, 1.0]",1.0,2.0
crosswalk DATASET/training set/18/300.jpg,"[0.3599890625, 0.46870416666666664, 0.45660468749999994, 1.0]",1.0,2.0
crosswalk DATASET/training set/18/450.jpg,"[0.32560078125, 0.5312958333333333, 0.58023984375, 1.0]",1.0,2.0
crosswalk DATASET/training set/18/600.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
crosswalk DATASET/training set/18/750.jpg,"[0.395196875, 0.18777361111111113, 0.8733625, 0.9839888888888889]",1.0,2.0
