image_file,coordinates,IScrosswalk,light_class
PTLR_Crosswalk/training set/02/2300.jpg,"[0.61872265625, 0.5720527777777777, 0.8004914062499999, 1.0]",1.0,0.0
PTLR_Crosswalk/training set/02/650.jpg,"[0.5409390625, 0.7641916666666666, 0.6285476562500001, 1.0]",1.0,0.0
PTLR_Crosswalk/training set/02/2450.jpg,"[0.6400109375, 0.5735083333333333, 0.80704140625, 1.0]",1.0,0.0
PTLR_Crosswalk/training set/02/850.jpg,"[0.598253125, 0.6462888888888888, 0.76118984375, 1.0]",1.0,0.0
PTLR_Crosswalk/training set/02/2650.jpg,"[0.65311171875, 0.5007277777777778, 0.87418125, 1.0]",1.0,1.0
PTLR_Crosswalk/training set/02/1000.jpg,"[0.60889765625, 0.5895194444444445, 0.779203125, 1.0]",1.0,0.0
PTLR_Crosswalk/training set/02/2800.jpg,"[0.6121726562500001, 0.577875, 0.8307859375, 1.0]",1.0,0.0
PTLR_Crosswalk/training set/03/1500.jpg,"[0.38537109375, 0.6666666666666666, 0.12663750000000001, 1.0]",1.0,0.0
PTLR_Crosswalk/training set/03/1650.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,0.0
PTLR_Crosswalk/training set/03/1850.jpg,"[0.34279453125, 0.7671027777777777, 0.1602078125, 1.0]",1.0,0.0
PTLR_Crosswalk/training set/03/2100.jpg,"[0.32969453125000003, 0.8209611111111111, 0.19213984374999998, 1.0]",1.0,0.0
PTLR_Crosswalk/training set/03/50.jpg,"[0.588428125, 0.6448319444444445, 0.46888671875, 1.0]",1.0,0.0
PTLR_Crosswalk/training set/03/2250.jpg,"[0.30943515625, 0.7652305555555555, 0.11970624999999999, 1.0]",1.0,0.0
PTLR_Crosswalk/training set/03/350.jpg,"[0.4205984375, 0.6909361111111111, 0.38465859375, 1.0]",1.0,0.0
PTLR_Crosswalk/training set/03/2550.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,1.0
PTLR_Crosswalk/training set/03/500.jpg,"[0.42394140625, 0.7384847222222222, 0.3804796875, 1.0]",1.0,0.0
PTLR_Crosswalk/training set/03/2700.jpg,"[0.1640046875, 0.8380388888888889, 0.11051249999999999, 1.0]",1.0,0.0
PTLR_Crosswalk/training set/03/700.jpg,"[0.3754640625, 0.6924222222222222, 0.27767421875, 1.0]",1.0,1.0
PTLR_Crosswalk/training set/03/950.jpg,"[0.39218046875, 0.6656763888888888, 0.16985546875, 1.0]",1.0,1.0
PTLR_Crosswalk/training set/03/1100.jpg,"[0.39301640625, 0.68945, 0.2041234375, 1.0]",1.0,0.0
PTLR_Crosswalk/training set/03/1300.jpg,"[0.31779375, 0.6716194444444444, 0.06955781250000001, 1.0]",1.0,0.0
PTLR_Crosswalk/training set/03/1550.jpg,"[0.40555312499999996, 0.6998513888888889, 0.19075, 1.0]",1.0,0.0
PTLR_Crosswalk/training set/03/1700.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
PTLR_Crosswalk/training set/03/2000.jpg,"[0.31277890625000004, 0.8246652777777778, 0.1949296875, 1.0]",1.0,0.0
PTLR_Crosswalk/training set/03/2150.jpg,"[0.33283828125000003, 0.8350666666666667, 0.19827265624999998, 1.0]",1.0,0.0
PTLR_Crosswalk/training set/03/100.jpg,"[0.42561328125, 0.7191680555555556, 0.3880015625, 1.0]",1.0,0.0
PTLR_Crosswalk/training set/03/2300.jpg,"[0.26931640625000003, 0.7518569444444444, 0.08293125, 0.9985138888888888]",1.0,0.0
PTLR_Crosswalk/training set/03/400.jpg,"[0.430628125, 0.6968791666666666, 0.40471796875, 1.0]",1.0,0.0
PTLR_Crosswalk/training set/03/2600.jpg,"[0.3478828125, 0.6344722222222222, 0.12304999999999999, 0.9866263888888889]",1.0,1.0
PTLR_Crosswalk/training set/03/550.jpg,"[0.42143359374999995, 0.7280833333333334, 0.38298671875, 1.0]",1.0,1.0
PTLR_Crosswalk/training set/03/2750.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,0.0
PTLR_Crosswalk/training set/03/850.jpg,"[0.36125546875, 0.6879638888888889, 0.13809453124999999, 1.0]",1.0,1.0
PTLR_Crosswalk/training set/03/1000.jpg,"[0.37797187499999996, 0.6582472222222222, 0.12639296875, 1.0]",1.0,1.0
PTLR_Crosswalk/training set/03/1150.jpg,"[0.37713593749999996, 0.6820208333333333, 0.14812421874999998, 1.0]",1.0,0.0
PTLR_Crosswalk/training set/03/1450.jpg,"[0.38215078125, 0.6686472222222222, 0.14561640625, 1.0]",1.0,0.0
PTLR_Crosswalk/training set/03/1600.jpg,"[0.29021171875, 0.8439819444444445, 0.16818359375, 0.9985138888888888]",1.0,0.0
PTLR_Crosswalk/training set/03/1750.jpg,"[0.41056796875, 0.7474000000000001, 0.223346875, 0.9985138888888888]",1.0,0.0
PTLR_Crosswalk/training set/03/2050.jpg,"[0.32949453125, 0.8306097222222222, 0.2041234375, 1.0]",1.0,0.0
PTLR_Crosswalk/training set/03/2200.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,0.0
PTLR_Crosswalk/training set/03/200.jpg,"[0.41140390625, 0.6909361111111111, 0.387165625, 1.0]",1.0,0.0
PTLR_Crosswalk/training set/03/2400.jpg,"[0.2843609375, 0.7726597222222223, 0.1130203125, 1.0]",1.0,0.0
PTLR_Crosswalk/training set/03/450.jpg,"[0.41307578125, 0.7028236111111111, 0.38047890624999997, 1.0]",1.0,0.0
PTLR_Crosswalk/training set/03/2650.jpg,"[0.35874843749999996, 0.7444277777777779, 0.24089921875, 1.0]",1.0,1.0
PTLR_Crosswalk/training set/03/600.jpg,"[0.4172546875, 0.7117388888888889, 0.39468828125, 1.0]",1.0,1.0
PTLR_Crosswalk/training set/03/2800.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,0.0
PTLR_Crosswalk/training set/03/900.jpg,"[0.37964375, 0.6745916666666667, 0.14227343750000002, 1.0]",1.0,1.0
PTLR_Crosswalk/training set/03/1050.jpg,"[0.36961328125000004, 0.7087666666666667, 0.16316875, 1.0]",1.0,1.0
PTLR_Crosswalk/training set/03/1200.jpg,"[0.36961328125000004, 0.6953944444444444, 0.16567578125, 1.0]",1.0,0.0
PTLR_Crosswalk/training set/04/50.jpg,"[0.9306765625000001, 0.3508, 0.1364625, 0.7933041666666666]",1.0,2.0
PTLR_Crosswalk/training set/05/50.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
PTLR_Crosswalk/training set/05/200.jpg,"[0.94295859375, 0.5065500000000001, 1.0, 0.6360986111111111]",1.0,2.0
PTLR_Crosswalk/training set/05/350.jpg,"[0.49017499999999997, 0.4381375, 0.08651718750000001, 0.915575]",1.0,2.0
PTLR_Crosswalk/training set/05/500.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
PTLR_Crosswalk/training set/05/100.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
PTLR_Crosswalk/training set/05/250.jpg,"[0.60644140625, 0.41048055555555557, 0.67276171875, 0.8762736111111111]",1.0,2.0
PTLR_Crosswalk/training set/05/400.jpg,"[0.24126640625, 0.42649166666666666, 0.0, 0.6215430555555556]",1.0,2.0
PTLR_Crosswalk/training set/05/150.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
PTLR_Crosswalk/training set/05/300.jpg,"[0.61135390625, 0.4410486111111111, 0.42221640625, 0.9286749999999999]",1.0,2.0
PTLR_Crosswalk/training set/05/450.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
PTLR_Crosswalk/training set/06/100.jpg,"[0.25927968749999997, 0.40320277777777774, 0.5515828125, 0.4599708333333333]",1.0,2.0
PTLR_Crosswalk/training set/06/250.jpg,"[0.008733593750000001, 0.3973805555555555, 0.24617890625, 0.5574958333333333]",1.0,2.0
PTLR_Crosswalk/training set/06/400.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
PTLR_Crosswalk/training set/06/150.jpg,"[0.1798578125, 0.43668055555555557, 0.48853749999999996, 0.4978166666666667]",1.0,2.0
PTLR_Crosswalk/training set/06/300.jpg,"[0.00300234375, 0.5502180555555556, 0.4549671875, 1.0]",1.0,2.0
PTLR_Crosswalk/training set/06/450.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
PTLR_Crosswalk/training set/06/200.jpg,"[0.06604765625, 0.3799125, 0.41894140625, 0.48180555555555554]",1.0,2.0
PTLR_Crosswalk/training set/06/350.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
PTLR_Crosswalk/training set/06/50.jpg,"[0.34609375, 0.31805555555555554, 0.65078125, 0.3625]",1.0,2.0
PTLR_Crosswalk/training set/07/50.jpg,"[0.37554609375000003, 0.6302763888888888, 0.059497656249999996, 0.8442500000000001]",1.0,2.0
PTLR_Crosswalk/training set/07/200.jpg,"[0.75300234375, 0.5633194444444444, 0.76528359375, 0.8180499999999999]",1.0,2.0
PTLR_Crosswalk/training set/07/100.jpg,"[0.6432859375, 0.5531291666666667, 0.42385390625, 0.7583694444444444]",1.0,2.0
PTLR_Crosswalk/training set/07/250.jpg,"[0.788209375, 0.532751388888889, 0.9544210937500001, 0.7569138888888888]",1.0,2.0
PTLR_Crosswalk/training set/07/150.jpg,"[0.5548578125, 0.5225625, 0.44022890625000005, 0.7190680555555556]",1.0,2.0
PTLR_Crosswalk/training set/07/300.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
PTLR_Crosswalk/training set/08/50.jpg,"[0.015625, 0.7513888888888889, 0.33125, 0.7694444444444445]",1.0,2.0
PTLR_Crosswalk/training set/08/100.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
PTLR_Crosswalk/training set/08/150.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
PTLR_Crosswalk/training set/09/100.jpg,"[0.9675218750000001, 0.4657930555555555, 0.49672499999999997, 0.5924305555555556]",1.0,2.0
PTLR_Crosswalk/training set/09/250.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
PTLR_Crosswalk/training set/09/150.jpg,"[0.9978164062499999, 0.4963611111111111, 0.62772890625, 0.6331875]",1.0,2.0
PTLR_Crosswalk/training set/09/300.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
PTLR_Crosswalk/training set/09/50.jpg,"[0.76692109375, 0.49927222222222223, 0.3608078125, 0.5866083333333333]",1.0,2.0
PTLR_Crosswalk/training set/09/200.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
PTLR_Crosswalk/training set/10/150.jpg,"[0.00078125, 0.7194444444444444, 0.68828125, 0.775]",1.0,2.0
PTLR_Crosswalk/training set/10/300.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
PTLR_Crosswalk/training set/10/450.jpg,"[0.0021835937499999998, 0.8253277777777778, 0.20605859375, 1.0]",1.0,2.0
PTLR_Crosswalk/training set/10/200.jpg,"[0.035753125000000004, 0.4337694444444445, 0.5589523437499999, 0.9985444444444445]",1.0,2.0
PTLR_Crosswalk/training set/10/350.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
PTLR_Crosswalk/training set/10/100.jpg,"[0.00078125, 0.6402777777777777, 0.56484375, 0.6277777777777778]",1.0,2.0
PTLR_Crosswalk/training set/10/250.jpg,"[0.58105859375, 0.45414861111111116, 0.85125546875, 1.0]",1.0,2.0
PTLR_Crosswalk/training set/10/400.jpg,"[0.56058984375, 0.6331875, 0.7259828125000001, 1.0]",1.0,2.0
PTLR_Crosswalk/training set/10/50.jpg,"[0.0015625, 0.4263888888888889, 0.68984375, 0.4930555555555556]",1.0,2.0
PTLR_Crosswalk/training set/11/50.jpg,"[0.75955234375, 0.4657930555555555, 0.42958515625000004, 1.0]",1.0,2.0
PTLR_Crosswalk/training set/12/200.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
PTLR_Crosswalk/training set/12/400.jpg,"[0.9961789062499999, 0.8457055555555556, 0.76364609375, 1.0]",1.0,2.0
PTLR_Crosswalk/training set/12/100.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
PTLR_Crosswalk/training set/12/250.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
PTLR_Crosswalk/training set/12/450.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
PTLR_Crosswalk/training set/12/150.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
PTLR_Crosswalk/training set/12/350.jpg,"[0.8316046874999999, 0.40756944444444443, 0.3558953125, 0.5866083333333333]",1.0,2.0
PTLR_Crosswalk/training set/12/500.jpg,"[0.4918125, 0.5531291666666667, 0.57942109375, 1.0]",1.0,0.0
PTLR_Crosswalk/training set/12/50.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
PTLR_Crosswalk/training set/13/200.jpg,"[0.20605859375, 0.5443958333333333, 0.784115625, 0.7365361111111112]",1.0,2.0
PTLR_Crosswalk/training set/13/350.jpg,"[0.0, 0.5400291666666667, 0.57287109375, 1.0]",1.0,2.0
PTLR_Crosswalk/training set/13/250.jpg,"[0.00300234375, 0.20232916666666664, 0.80294765625, 0.48180555555555554]",1.0,2.0
PTLR_Crosswalk/training set/13/450.jpg,"[0.597434375, 0.2081513888888889, 0.585971875, 0.5516736111111111]",1.0,2.0
PTLR_Crosswalk/training set/13/300.jpg,"[0.2560046875, 0.25764166666666666, 1.0, 0.6390097222222222]",1.0,2.0
PTLR_Crosswalk/training set/13/500.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
PTLR_Crosswalk/training set/13/50.jpg,"[0.35625, 0.30694444444444446, 0.80390625, 0.3375]",1.0,2.0
PTLR_Crosswalk/training set/13/150.jpg,"[0.15078125, 0.5625, 0.74921875, 0.6180555555555556]",1.0,2.0
PTLR_Crosswalk/training set/13/100.jpg,"[0.2328125, 0.3236111111111111, 0.7484375, 0.3763888888888889]",1.0,2.0
PTLR_Crosswalk/training set/14/50.jpg,"[0.9102078125, 0.4061138888888889, 0.19705234375, 0.6259097222222222]",1.0,2.0
PTLR_Crosswalk/training set/14/150.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
PTLR_Crosswalk/training set/14/200.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
PTLR_Crosswalk/training set/14/100.jpg,"[1.0, 0.8263888888888888, 0.3765625, 0.9944444444444445]",1.0,2.0
PTLR_Crosswalk/training set/15/50.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
PTLR_Crosswalk/training set/15/200.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
PTLR_Crosswalk/training set/15/400.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
PTLR_Crosswalk/training set/15/550.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
PTLR_Crosswalk/training set/15/900.jpg,"[0.9617906250000001, 0.2634638888888889, 0.20442109375, 0.43959305555555556]",1.0,2.0
PTLR_Crosswalk/training set/15/1100.jpg,"[0.5417578125, 0.6142652777777778, 0.09143046875000001, 1.0]",1.0,2.0
PTLR_Crosswalk/training set/15/100.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
PTLR_Crosswalk/training set/15/250.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
PTLR_Crosswalk/training set/15/450.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
PTLR_Crosswalk/training set/15/600.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
PTLR_Crosswalk/training set/15/950.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
PTLR_Crosswalk/training set/15/150.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
PTLR_Crosswalk/training set/15/350.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
PTLR_Crosswalk/training set/15/500.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
PTLR_Crosswalk/training set/15/700.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
PTLR_Crosswalk/training set/15/1050.jpg,"[0.57942109375, 0.5807861111111111, 0.0, 0.9650652777777777]",1.0,2.0
PTLR_Crosswalk/training set/15/750.jpg,"[0.99921875, 0.1486111111111111, 0.5703125, 0.22083333333333333]",1.0,2.0
PTLR_Crosswalk/training set/15/800.jpg,"[0.99921875, 0.21666666666666667, 0.63125, 0.18055555555555555]",1.0,2.0
PTLR_Crosswalk/training set/15/850.jpg,"[0.9984375, 0.49027777777777776, 0.57265625, 0.5625]",1.0,2.0
PTLR_Crosswalk/training set/15/1000.jpg,"[0.99453125, 0.7069444444444445, 0.63046875, 0.7541666666666667]",1.0,2.0
PTLR_Crosswalk/training set/16/100.jpg,"[0.6318234375, 0.3158666666666667, 0.50245625, 0.4410486111111111]",1.0,2.0
PTLR_Crosswalk/training set/16/250.jpg,"[0.84879921875, 0.5036388888888889, 0.7431765625, 1.0]",1.0,2.0
PTLR_Crosswalk/training set/16/150.jpg,"[0.7284390625, 0.49490555555555554, 0.599890625, 0.6593888888888889]",1.0,2.0
PTLR_Crosswalk/training set/16/300.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
PTLR_Crosswalk/training set/16/50.jpg,"[0.22980312500000002, 0.41048055555555557, 0.1774015625, 0.48762777777777777]",1.0,2.0
PTLR_Crosswalk/training set/16/200.jpg,"[0.8193234374999999, 0.40029166666666666, 0.5524015624999999, 0.9927222222222222]",1.0,2.0
PTLR_Crosswalk/training set/16/350.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
PTLR_Crosswalk/training set/18/150.jpg,"[0.48116796875, 0.49345, 0.70141953125, 1.0]",1.0,2.0
PTLR_Crosswalk/training set/18/300.jpg,"[0.3599890625, 0.46870416666666664, 0.45660468749999994, 1.0]",1.0,2.0
PTLR_Crosswalk/training set/18/450.jpg,"[0.32560078125, 0.5312958333333333, 0.58023984375, 1.0]",1.0,2.0
PTLR_Crosswalk/training set/18/600.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
PTLR_Crosswalk/training set/18/750.jpg,"[0.395196875, 0.18777361111111113, 0.8733625, 0.9839888888888889]",1.0,2.0
PTLR_Crosswalk/training set/18/900.jpg,"[0.12663750000000001, 0.11208194444444444, 1.0, 0.6448319444444445]",1.0,2.0
PTLR_Crosswalk/training set/18/1100.jpg,"[0.47707421875, 0.47307083333333333, 0.75955234375, 1.0]",1.0,2.0
PTLR_Crosswalk/training set/18/50.jpg,"[0.3477078125, 0.48034999999999994, 0.60807890625, 1.0]",1.0,2.0
PTLR_Crosswalk/training set/18/200.jpg,"[0.397653125, 0.5123722222222222, 0.6449234374999999, 0.9970888888888889]",1.0,2.0
PTLR_Crosswalk/training set/18/350.jpg,"[0.35098281249999996, 0.4454152777777778, 0.31823125, 1.0]",1.0,2.0
PTLR_Crosswalk/training set/18/500.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,2.0
PTLR_Crosswalk/training set/18/650.jpg,"[0.5532203124999999, 0.5924305555555556, 0.84388671875, 1.0]",1.0,2.0
PTLR_Crosswalk/training set/18/800.jpg,"[0.48935625, 0.36244583333333336, 0.8356984375, 1.0]",1.0,2.0
PTLR_Crosswalk/training set/18/1000.jpg,"[0.5376640625, 0.18195, 1.0, 0.7248902777777778]",1.0,2.0
PTLR_Crosswalk/training set/18/100.jpg,"[0.44596093750000004, 0.5152833333333333, 0.75136484375, 1.0]",1.0,2.0
PTLR_Crosswalk/training set/18/250.jpg,"[0.409115625, 0.5123722222222222, 0.6457421875, 1.0]",1.0,2.0
PTLR_Crosswalk/training set/18/400.jpg,"[0.30513124999999997, 0.5618625, 0.5433953125000001, 1.0]",1.0,2.0
PTLR_Crosswalk/training set/18/550.jpg,"[0.38209609375000003, 0.4890833333333333, 0.65311171875, 1.0]",1.0,2.0
PTLR_Crosswalk/training set/18/700.jpg,"[0.408296875, 0.1950513888888889, 0.6760375, 1.0]",1.0,2.0
PTLR_Crosswalk/training set/18/850.jpg,"[0.773471875, 0.3828236111111111, 1.0, 0.6928680555555555]",1.0,2.0
PTLR_Crosswalk/training set/18/1050.jpg,"[0.34033828125, 0.4556041666666667, 0.76446484375, 1.0]",1.0,2.0
PTLR_Crosswalk/training set/19/150.jpg,"[0.216703125, 0.6055319444444445, 0.6465609375, 1.0]",1.0,1.0
PTLR_Crosswalk/training set/19/300.jpg,"[0.0, 0.0, 0.0, 0.0]",0.0,1.0
PTLR_Crosswalk/training set/19/50.jpg,"[0.37636484375, 0.5807861111111111, 0.79557890625, 1.0]",1.0,0.0
PTLR_Crosswalk/training set/19/200.jpg,"[0.46888671875, 0.28238749999999996, 1.0, 0.918486111111111]",1.0,2.0
PTLR_Crosswalk/training set/19/100.jpg,"[0.413209375, 0.23871944444444443, 1.0, 0.7947597222222222]",1.0,2.0
PTLR_Crosswalk/training set/19/250.jpg,"[0.5245632812500001, 0.6986902777777778, 0.66211796875, 0.9927222222222222]",1.0,1.0
PTLR_Crosswalk/training set/20/100.jpg,"[0.11271796875, 0.25327500000000003, 0.7210695312500001, 0.5924305555555556]",1.0,2.0
PTLR_Crosswalk/training set/20/400.jpg,"[0.5049125, 0.5924305555555556, 0.53193203125, 1.0]",1.0,2.0
PTLR_Crosswalk/training set/20/50.jpg,"[0.23062265625, 0.25764166666666666, 0.8864625, 0.6492]",1.0,2.0
PTLR_Crosswalk/training set/20/450.jpg,"[0.49918125, 0.22561805555555556, 0.596615625, 1.0]",1.0,2.0
PTLR_Lights/Training set/China/01/608.jpg,"[0.57614609375, 0.6841333333333334, 0.774290625, 1.0]",1.0,1.0
